title,epi,page,tb,words,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,0,everyone,believes,that,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,1,falling,for,someone.--,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,10,#NAME?,must,not,become,the,loser,,,,,,,,,,,,,,,,,
EJ09,1,1,11,love,war,,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,2,confessing,your,love,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,3,#NAME?,becoming,a,couple,is,the,most,wonderful,thing,in,the,world,,,,,,,,,,,
EJ09,1,1,4,in,every,xc2xa9,couple,there,is,an,imbalance,of,power,|,,,,,,,,,,,,
EJ09,1,1,5,but,theyre,wrong,,,,,,,,,,,,,,,,,,,,
EJ09,1,1,6,the,exploiter,anp,the,exploited,,,,,,,,,,,,,,,,,,
EJ09,1,1,7,the,giver,and,the,taker,,,,,,,,,,,,,,,,,,
EJ09,1,1,8,the,winner,anp,the,loser,,,,,,,,,,,,,,,,,,
EJ09,1,1,9,if,you,want,to,maintain,your,dominance,,,,,,,,,,,,,,,,
EJ09,1,2,0,etsi,tunel,2,kel),invite)meltojamovie,,,,,,,,,,,,,,,,,,
EJ09,1,2,1,story,&,art,by,aka,akasaka,,,,,,,,,,,,,,,,,
EJ09,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,3,0,shuchiin,academy,,,,,,,,,,,,,,,,,,,,,
EJ09,1,3,1,establighed,many,years,ago,to,serve,the,noble,and,warrior,classes,,,,,,,,,,,,
EJ09,1,3,2,#NAME?,prestigious,educational,institution,has,an,august,reputation,,,,,,,,,,,,,,,
EJ09,1,3,3,the,future,leaders,of,the,country,attend,this,school,,,,,,,,,,,,,,
EJ09,1,3,4,#NAME?,children,of,the,rich,and,,,,,,,,,,,,,,,,,
EJ09,1,3,5,famous.even,now,after,the,abolishment,of,the,class,system,,,,,,,,,,,,,,
EJ09,1,3,6,ge,rents,suchas,these,only,be,led,by...7,,,,,,,,,,,,,,,
EJ09,1,3,7,hey,everybopdy,,,,,,,,,,,,,,,,,,,,,
EJ09,1,3,8,look,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,3,9,thertruly,5,extraordinary,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,0,it's,the,student,council,,,,,,,,,,,,,,,,,,,
EJ09,1,4,1,shucniin,academy,vice,president,,,,,,,,,,,,,,,,,,,
EJ09,1,4,10,ghe,ip,literally,a,wellbred,lad,,,,,,,,,,,,,,,,,
EJ09,1,4,11,much,like,her,extraor,dinary,ancestors.--,,,,,,,,,,,,,,,,,
EJ09,1,4,12,#NAME?,demonstrates,brilliance,across,the,visual,musical,and,martial,arts,,,,,,,,,,,,,
EJ09,1,4,13,a,TRUE,genius,perfectly,describes,,,,,,,,,,,,,,,,,,
EJ09,1,4,14,shuchiin,academy,president,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,15,miyuki,shirogane,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,16,#NAME?,shinomiya,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,17,anp,at,her,side,|s,,,,,,,,,,,,,,,,,,
EJ09,1,4,18,strong,and,silent,brilliant,and,wise,,,,,,,,,,,,,,,,,
EJ09,1,4,19,number,one,in,the,academy's,practice,exams,,,,,,,,,,,,,,,,
EJ09,1,4,2,kaguya,shinomiya,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,20,competes,neck,and,neck,with,the,top,students,across,the,country,,,,,,,,,,,,
EJ09,1,4,21,fl,inal,bam,top,scores,,,,,,,,,,,,,,,,,,
EJ09,1,4,3,total,assets,xc2xa5200,trillion,,,,,,,,,,,,,,,,,,,
EJ09,1,4,4,railroads,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,5,banks,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,6,automotive,industry,,,,,,,,,,,,,,,,,,,,,
EJ09,1,4,7,with,well,over,1,0,subsidiaries.-,,,,,,,,,,,,,,,,,
EJ09,1,4,8,#NAME?,shinomiya,group,is,one,of,the,four,great,japanese,business,conglomerates,,,,,,,,,,,
EJ09,1,4,9,born,to,the,son,of,ganan,shinomiya,leader,of,the,conglomerate,the,head,of,the,clan,,,,,,,
EJ09,1,5,0,and,,,,,,,,,,,,,,,,,,,,,,
EJ09,1,5,1,contrast,to,multitalented,,,,,,,,,,,,,,,,,,,,
EJ09,1,5,10,kaguya..,,,,,,,,,,,,,,,,,,,,,,
